Title,When,Description,"tasks (row number of the `Tasks` spreadsheet, separate by comma)",Image file name,tasks,,,,,,,,,,,,,,,,,,Title (required),Title (required)
,,,,,,,,,,,,,,,,,,,,,,,Buy programs,Buy programs
,,,,,,,,,,,,,,,,,,,,,,,Buy wedding party gifts,Buy wedding party gifts
,,,,,,,,,,,,,,,,,,,,,,,Confirm guests,Confirm guests
,,,,,,,,,,,,,,,,,,,,,,,Work on seating,Work on seating
,,,,,,,,,,,,,,,,,,,,,,,Work on escort cards.,Work on escort cards
,,,,,,,,,,,,,,,,,,,,,,,Finish thank-you notes.,Finish thank-you notes
,,,,,,,,,,,,,,,,,,,,,,,Book photographer,Book photographer
,,,,,,,,,,,,,,,,,,,,,,,Take engagement photos.,Take engagement photos
,,,,,,,,,,,,,,,,,,,,,,,Book videographers,Book videographers
,,,,,,,,,,,,,,,,,,,,,,,Confirm shotlist,Confirm shotlist
,,,,,,,,,,,,,,,,,,,,,,,Save flower photos.,Save flower photos
,,,,,,,,,,,,,,,,,,,,,,,Book florist,Book florist 
,,,,,,,,,,,,,,,,,,,,,,,Save decor photos ,Save decor photos 
,,,,,,,,,,,,,,,,,,,,,,,DIY projects I,DIY projects I
,,,,,,,,,,,,,,,,,,,,,,,DIY projects II,DIY projects II
,,,,,,,,,,,,,,,,,,,,,,,Order rentals and lighting.,Order rentals & lighting
,,,,,,,,,,,,,,,,,,,,,,,Plan shower & bachelorette parties,Plan shower & bachelorette parties
,,,,,,,,,,,,,,,,,,,,,,,Plan rehearsal dinner,Plan rehearsal dinner
,,,,,,,,,,,,,,,,,,,,,,,Take dance lessons,Take dance lessons
,,,,,,,,,,,,,,,,,,,,,,,Have your rehearsal,Have your rehearsal
,,,,,,,,,,,,,,,,,,,,,,,Have bachelor & bachelorette parties,Have bachelor & bachelorette parties
,,,,,,,,,,,,,,,,,,,,,,,Book DJ or band,Book DJ / band
,,,,,,,,,,,,,,,,,,,,,,,Book ceremony musicians,Book ceremony musicians
,,,,,,,,,,,,,,,,,,,,,,,Book caterer,Book caterer
,,,,,,,,,,,,,,,,,,,,,,,Save cake photos,Save cake photos
,,,,,,,,,,,,,,,,,,,,,,,Book cake baker,Book cake baker
,,,,,,,,,,,,,,,,,,,,,,,Choose cakes,Choose cakes
,,,,,,,,,,,,,,,,,,,,,,,Prepare toasts,Prepare toasts
,,,,,,,,,,,,,,,,,,,,,,,Book your officiant.,Book officiant
,,,,,,,,,,,,,,,,,,,,,,,Finalize your ceremony.,Finalize ceremony
,,,,,,,,,,,,,,,,,,,,,,,Decide on a honeymoon location.,Decide on a honeymoon location
